id,coin,pair,channel_name,best_ask_price,best_ask_whole_lot_volume,best_ask_lot_volume,best_bid_price,best_bid_whole_lot_volume,best_bid_lot_volume,close_price,close_lot_volume,volume_today,volume_last_24h,vwap_today,vwap_last_24h,number_of_trades_today,number_of_trades_last_24h,low_price_today,low_price_last_24h,high_price_today,high_price_last_24h,open_price_today,open_price_last_24h,received_at
1125899906842786,XBT,XBT/USD,ticker,68320.00000000,0,0.02170556,68319.90000000,12,12.11684945,68320.00000000,0.00009672,168.98697696,1108.26861083,68420.69237000,68499.65385000,6745,27588,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67761.70000000,2024-10-19 10:08:24
1125899906842652,XBT,XBT/USD,ticker,68402.60000000,6,6.30061729,68402.50000000,0,0.42572837,68402.50000000,0.00102307,155.86250914,1118.85528256,68427.10389000,68486.88603000,6308,27598,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:29:00
1125899906842671,XBT,XBT/USD,ticker,68394.10000000,0,0.18525871,68394.00000000,0,0.03710000,68394.10000000,0.00338179,158.22214286,1117.43119072,68426.56425000,68488.57348000,6344,27605,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67911.80000000,2024-10-19 09:31:29
2251799813685268,XBT,XBT/USD,ticker,68343.80000000,11,11.15879617,68343.70000000,0,0.04398832,68343.70000000,0.00588000,163.61146549,1103.52211884,68424.00673000,68500.11000000,6630,27520,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:00:58
2251799813685291,XBT,XBT/USD,ticker,68315.30000000,9,9.98324080,68315.20000000,6,6.51845979,68315.20000000,0.02731274,166.11454976,1106.00230844,68422.47637000,68499.72325000,6685,27570,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67759.30000000,2024-10-19 10:03:36
1125899906842773,ETH,ETH/USD,ticker,2644.40000000,0,0.77039569,2644.39000000,185,185.99409648,2644.39000000,0.00099660,632.35145598,5613.27436271,2644.97521000,2644.69047000,2788,12097,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2624.89000000,2024-10-19 10:07:09
1125899906842797,XBT,XBT/USD,ticker,68347.70000000,0,0.70814000,68347.60000000,4,4.73025725,68347.60000000,1.00513843,171.38030510,1110.65977223,68419.58941000,68499.31495000,6776,27615,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67755.90000000,2024-10-19 10:09:15
1125899906842648,XBT,XBT/USD,ticker,68402.60000000,6,6.24211914,68402.50000000,0,0.42781084,68402.50000000,0.00064049,155.86042667,1118.85320009,68427.10422000,68486.88619000,6305,27595,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:28:53
1125899906842650,XBT,XBT/USD,ticker,68402.60000000,6,6.24211914,68402.50000000,0,0.42748182,68402.50000000,0.00032902,155.86075569,1118.85352911,68427.10417000,68486.88616000,6306,27596,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:28:58
1125899906842662,XBT,XBT/USD,ticker,68402.60000000,5,5.83820579,68402.50000000,0,0.42467572,68402.60000000,0.00394990,156.21007912,1119.20285254,68427.04937000,68486.85985000,6321,27611,68308.10000000,67646.60000000,68632.70000000,68980.30000000,68440.20000000,67891.50000000,2024-10-19 09:30:04
1125899906842708,ETH,ETH/USD,ticker,2646.29000000,143,143.34437470,2646.28000000,0,0.98837727,2646.29000000,0.01052568,624.95447690,5937.25671949,2644.97256000,2643.46201000,2724,12206,2635.70000000,2612.22000000,2660.99000000,2673.41000000,2641.79000000,2621.78000000,2024-10-19 09:35:30
